FIPS,recent_trend,prediction_trend,O3_max_pred,PM25_max_pred
29111,rising,rising,39.30552684294934,11.129111691766086
29113,stable,stable,42.038600803637785,11.930183274985332
29115,stable,stable,40.002965747310775,10.278613288089185
29117,stable,stable,39.90290183805985,10.145823901036573
29119,stable,stable,43.31328891394485,10.722265176608644
29121,rising,rising,40.1449675963231,10.442298132798747
29123,stable,stable,41.91000637355759,10.799471234695874
29125,stable,stable,41.23167495051828,10.414330097613458
29127,stable,stable,39.98111990592607,11.359295846274202
29129,stable,stable,38.47702193819675,9.832139955798944
29131,stable,stable,41.4080220078232,10.592653985915494
29133,stable,stable,42.75607394758459,12.669244358693525
29135,stable,stable,41.17141889516918,10.678818126564945
29137,stable,stable,40.70873013514571,10.625266262077059
29139,stable,stable,41.29224998982985,10.942104977899472
29141,stable,stable,41.47984092059456,10.484251911402307
29143,stable,stable,43.102148448073535,12.755638511441424
29145,stable,stable,43.59120550850772,11.056456088206533
29147,stable,stable,39.2158135963231,10.08172972129865
29149,stable,stable,41.3358636215529,10.481112533346371
29151,stable,stable,41.26289388147858,10.708208170970266
29153,stable,stable,41.25061716995893,10.155611273811852
29155,stable,stable,42.938296356542146,12.126377589868962
29157,stable,stable,42.165123749853315,11.875706663407001
29159,stable,stable,41.44048224564835,10.573372236651672
29161,stable,stable,41.639892097007625,10.407231173904538
29163,stable,stable,41.16357976882456,11.375253174652846
29165,stable,stable,41.55859177645218,11.736348752395854
29167,stable,stable,42.45413283942891,10.548581939761393
29169,stable,stable,41.58577671093291,10.321744436032864
29171,stable,stable,38.308242431449244,9.887461862898494
29173,stable,stable,40.541616222961075,11.054712157246236
29175,stable,stable,40.542536075493835,10.518652108938001
29177,stable,stable,41.265254961666336,10.684953357911207
29179,stable,stable,41.554254863485234,10.24045118697438
29181,stable,stable,41.76760099647956,11.278351676119694
29183,stable,stable,42.71110384607862,13.27262790925093
29185,falling,falling,42.07163751105026,10.203205476628202
29186,stable,stable,42.13121976823783,11.800648029336983
29187,stable,stable,42.61998135908468,11.242025492274594
29189,stable,stable,42.740887690397024,14.150865120672794
29195,stable,stable,41.02193282123998,10.60925565049873
29197,stable,stable,38.467751958928226,10.145288576960688
29199,stable,stable,38.325934458243694,10.324533817523958
29201,stable,stable,42.82523194778017,12.825268068648544
29203,stable,stable,41.25080545980833,10.110732292587521
29205,stable,rising,40.0355315145707,10.605808252689224
29207,stable,stable,42.87065773459808,12.644475342264816
29209,stable,stable,42.544495210639546,10.675149987874047
29211,stable,stable,39.010474710150596,10.05316461157833
29213,stable,stable,42.21581057168003,10.653917724036768
29215,stable,stable,41.75174279640133,10.303945420887931
29217,rising,rising,42.775147568746334,10.65205390573049
29219,stable,stable,41.540846075885,11.48685407471152
29221,stable,stable,42.33477678975161,10.770838840211226
29223,stable,stable,41.924682207510266,10.958892903579112
29225,stable,stable,42.43557622433014,10.50208657246235
29229,falling,falling,41.72732978368864,10.21179799882652
29510,stable,stable,38.75153661412087,13.97584272325445
30101,stable,stable,37.411174027381186,7.031934795814591
30105,rising,rising,37.425809502249166,6.4260269202034035
30111,stable,stable,41.5640857422257,7.5287170807902974
31101,stable,stable,41.3742115963231,7.061513508116565
31105,stable,stable,43.319599160571094,6.106762180324663
31107,stable,stable,39.225165008214354,8.58646957578721
